depth,speed
0.0,1507.2614303900002
4.0,1505.76832899
8.0,1504.27522759
12.0,1502.8729301
16.0,1501.55680921
20.0,1500.32242775
24.0,1499.16553251
28.0,1498.0820482
32.0,1497.06807155
36.0,1496.11986553
40.0,1495.23385384
44.0,1494.40661537
48.0,1493.63487895
52.0,1492.91551818
56.0,1492.24554639
60.0,1491.62211176
64.0,1491.04249255
68.0,1490.50409248
72.0,1490.00443623
76.0,1489.54116502
80.0,1489.11203243
84.0,1488.71490019
88.0,1488.34773418
92.0,1488.00860054
96.0,1487.69566186
100.0,1487.40717349
104.0,1487.14147996
108.0,1486.89701152
112.0,1486.67228076
116.0,1486.46587931
120.0,1486.27647473
124.0,1486.10280737
128.0,1485.9436874
132.0,1485.79799195
136.0,1485.66466226
140.0,1485.54270102
144.0,1485.43116967
148.0,1485.32918591
152.0,1485.23592121
156.0,1485.15059843
160.0,1485.07248953
164.0,1485.0009133
168.0,1484.93523322
172.0,1484.87485542
176.0,1484.81922657
180.0,1484.76783204
184.0,1484.72019394
188.0,1484.67586935
192.0,1484.63444858
196.0,1484.59555343
200.0,1484.55883563
204.0,1484.52397523
208.0,1484.49067911
212.0,1484.45867953
216.0,1484.4277327
220.0,1484.39761749
224.0,1484.3681341
228.0,1484.3391028
232.0,1484.31036281
236.0,1484.28177105
240.0,1484.25320115
244.0,1484.2245423
248.0,1484.19569831
252.0,1484.16658661
256.0,1484.13713731
260.0,1484.10729235
264.0,1484.07700462
268.0,1484.04623718
272.0,1484.01496247
276.0,1483.98316155
280.0,1483.95082345
284.0,1483.91794444
288.0,1483.88452746
292.0,1483.85058146
296.0,1483.81612083
300.0,1483.78116488
304.0,1483.74573731
308.0,1483.70986571
312.0,1483.67358111
316.0,1483.63691754
320.0,1483.5999116
324.0,1483.5626021
328.0,1483.52502966
332.0,1483.4872364
336.0,1483.44926558
340.0,1483.41116134
344.0,1483.37296838
348.0,1483.33473172
352.0,1483.29649645
356.0,1483.2583075
360.0,1483.22020943
364.0,1483.18224625
368.0,1483.14446121
372.0,1483.10689668
376.0,1483.06959397
380.0,1483.03259319
384.0,1482.99593317
388.0,1482.95965131
392.0,1482.9237835
396.0,1482.88836403
400.0,1482.85342552
404.0,1482.81899885
408.0,1482.78511312
412.0,1482.75179557
416.0,1482.71907161
420.0,1482.6869647
424.0,1482.65549642
428.0,1482.62468641
432.0,1482.59455236
436.0,1482.56511003
440.0,1482.53637328
444.0,1482.50835403
448.0,1482.48106232
452.0,1482.45450632
456.0,1482.42869235
460.0,1482.40362495
464.0,1482.37930688
468.0,1482.35573917
472.0,1482.33292119
476.0,1482.31085066
480.0,1482.28952374
484.0,1482.26893504
488.0,1482.24907774
492.0,1482.22994356
496.0,1482.21152291
500.0,1482.19380491
504.0,1482.17677743
508.0,1482.16042721
512.0,1482.14473988
516.0,1482.12970003
520.0,1482.11529132
524.0,1482.10149649
528.0,1482.08829747
532.0,1482.07567542
536.0,1482.06361081
540.0,1482.05208348
544.0,1482.04107272
548.0,1482.03055732
552.0,1482.02051565
556.0,1482.0109257
560.0,1482.00176518
564.0,1481.99301156
568.0,1481.9846421
572.0,1481.97663399
576.0,1481.96896433
580.0,1481.96161023
584.0,1481.95454885
588.0,1481.94775745
592.0,1481.94121348
596.0,1481.93489457
600.0,1481.92877861
604.0,1481.92284383
608.0,1481.91706876
612.0,1481.91143238
616.0,1481.90591407
620.0,1481.9004937
624.0,1481.89515165
628.0,1481.88986884
632.0,1481.8846268
636.0,1481.87940763
640.0,1481.87419411
644.0,1481.86896968
648.0,1481.86371847
652.0,1481.85842532
656.0,1481.85307582
660.0,1481.84765633
664.0,1481.84215395
668.0,1481.8365566
672.0,1481.830853
676.0,1481.82503266
680.0,1481.81908593
684.0,1481.813004
688.0,1481.80677887
692.0,1481.8004034
696.0,1481.79387128
700.0,1481.78717702
704.0,1481.780316
708.0,1481.77328442
712.0,1481.7660793
716.0,1481.75869849
720.0,1481.75114065
724.0,1481.74340522
728.0,1481.73549247
732.0,1481.72740342
736.0,1481.71913986
740.0,1481.71070431
744.0,1481.70210005
748.0,1481.69333104
752.0,1481.68440194
756.0,1481.67531809
760.0,1481.66608548
764.0,1481.6567107
768.0,1481.64720096
772.0,1481.63756406
776.0,1481.62780833
780.0,1481.61794262
784.0,1481.60797631
788.0,1481.59791921
792.0,1481.58778162
796.0,1481.5775742
800.0,1481.56730805
804.0,1481.55699457
808.0,1481.54664553
812.0,1481.53627297
816.0,1481.5258892
820.0,1481.51550677
824.0,1481.50513841
828.0,1481.49479706
832.0,1481.48449577
836.0,1481.4742477
840.0,1481.4640661
844.0,1481.45396427
848.0,1481.44395552
852.0,1481.43405315
856.0,1481.42427042
860.0,1481.4146205
864.0,1481.4051165
868.0,1481.39577136
872.0,1481.38659787
876.0,1481.37760865
880.0,1481.3688161
884.0,1481.36023236
888.0,1481.35186934
892.0,1481.34373863
896.0,1481.33585153
900.0,1481.32821897
904.0,1481.32085156
908.0,1481.31375949
912.0,1481.30695256
916.0,1481.30044015
920.0,1481.2942312
924.0,1481.28833417
928.0,1481.28275706
932.0,1481.27750737
936.0,1481.2725921
940.0,1481.26801769
944.0,1481.26379009
948.0,1481.25991468
952.0,1481.25639628
956.0,1481.25323913
960.0,1481.25044693
964.0,1481.24802276
968.0,1481.24596912
972.0,1481.24428793
976.0,1481.24298049
980.0,1481.24204751
984.0,1481.24148911
988.0,1481.24130478
992.0,1481.24149343
996.0,1481.24205337
1000.0,1481.2429823
1004.0,1481.24427735
1008.0,1481.24593506
1012.0,1481.24795137
1016.0,1481.25032169
1020.0,1481.25304084
1024.0,1481.25610311
1028.0,1481.25950223
1032.0,1481.26323143
1036.0,1481.2672834
1040.0,1481.27165038
1044.0,1481.27632407
1048.0,1481.28129576
1052.0,1481.28655626
1056.0,1481.29209595
1060.0,1481.29790484
1064.0,1481.30397251
1068.0,1481.3102882
1072.0,1481.3168408
1076.0,1481.32361886
1080.0,1481.33061067
1084.0,1481.33780422
1088.0,1481.34518725
1092.0,1481.35274729
1096.0,1481.36047167
1100.0,1481.36834755
1104.0,1481.37636195
1108.0,1481.38450176
1112.0,1481.39275381
1116.0,1481.40110484
1120.0,1481.40954159
1124.0,1481.41805078
1128.0,1481.42661916
1132.0,1481.43523353
1136.0,1481.4438808
1140.0,1481.45254797
1144.0,1481.4612222
1148.0,1481.46989081
1152.0,1481.47854133
1156.0,1481.48716152
1160.0,1481.49573941
1164.0,1481.50426329
1168.0,1481.51272181
1172.0,1481.52110391
1176.0,1481.52939894
1180.0,1481.53759664
1184.0,1481.54568715
1188.0,1481.55366108
1192.0,1481.5615095
1196.0,1481.56922399
1200.0,1481.57679663
1204.0,1481.58422005
1208.0,1481.59148743
1212.0,1481.59859256
1216.0,1481.6055298
1220.0,1481.61229413
1224.0,1481.61888119
1228.0,1481.62528724
1232.0,1481.63150923
1236.0,1481.63754476
1240.0,1481.64339215
1244.0,1481.6490504
1248.0,1481.65451921
1252.0,1481.65979901
1256.0,1481.66489096
1260.0,1481.66979693
1264.0,1481.6745195
1268.0,1481.67906202
1272.0,1481.68342854
1276.0,1481.68762384
1280.0,1481.69165341
1284.0,1481.69552349
1288.0,1481.69924098
1292.0,1481.70281351
1296.0,1481.70624938
1300.0,1481.70955757
1304.0,1481.71274772
1308.0,1481.71583008
1312.0,1481.71881557
1316.0,1481.72171566
1320.0,1481.72454242
1324.0,1481.72730848
1328.0,1481.73002697
1332.0,1481.73271153
1336.0,1481.73537627
1340.0,1481.73803572
1344.0,1481.74070482
1348.0,1481.74339885
1352.0,1481.74613344
1356.0,1481.74892449
1360.0,1481.75178814
1364.0,1481.75474075
1368.0,1481.75779881
1372.0,1481.76097892
1376.0,1481.76429777
1380.0,1481.76777203
1384.0,1481.77141834
1388.0,1481.77525325
1392.0,1481.77929316
1396.0,1481.78355428
1400.0,1481.78805257
1404.0,1481.79280367
1408.0,1481.79782284
1412.0,1481.80312493
1416.0,1481.80872431
1420.0,1481.8146348
1424.0,1481.82086962
1428.0,1481.82744132
1432.0,1481.83436173
1436.0,1481.84164191
1440.0,1481.84929208
1444.0,1481.85732155
1448.0,1481.86573867
1452.0,1481.8745508
1456.0,1481.88376421
1460.0,1481.89338405
1464.0,1481.90341429
1468.0,1481.91385769
1472.0,1481.9247157
1476.0,1481.93598846
1480.0,1481.94767475
1484.0,1481.9597719
1488.0,1481.97227583
1492.0,1481.98518093
1496.0,1481.99848009
1500.0,1482.01216464
1504.0,1482.03984303
1508.0,1482.05300549
1512.0,1482.06616794
1516.0,1482.07933039
1520.0,1482.09249285
1524.0,1482.1056553
1528.0,1482.11881775
1532.0,1482.13198021
1536.0,1482.14514266
1540.0,1482.15830511
1544.0,1482.17146757
1548.0,1482.18463002
1552.0,1482.19779248
1556.0,1482.21095493
1560.0,1482.22411738
1564.0,1482.23727984
1568.0,1482.25044229
1572.0,1482.26360474
1576.0,1482.2767672
1580.0,1482.28992965
1584.0,1482.3030921
1588.0,1482.31625456
1592.0,1482.32941701
1596.0,1482.34257947
1600.0,1482.35574192
1604.0,1482.36890437
1608.0,1482.38206683
1612.0,1482.39522928
1616.0,1482.40839173
1620.0,1482.42155419
1624.0,1482.43471664
1628.0,1482.44787909
1632.0,1482.46104155
1636.0,1482.474204
1640.0,1482.48736646
1644.0,1482.50052891
1648.0,1482.51369136
1652.0,1482.52685382
1656.0,1482.54001627
1660.0,1482.55317872
1664.0,1482.56634118
1668.0,1482.57950363
1672.0,1482.59266609
1676.0,1482.60582854
1680.0,1482.61899099
1684.0,1482.63215345
1688.0,1482.6453159
1692.0,1482.65847835
1696.0,1482.67164081
1700.0,1482.68480326
1704.0,1482.69796571
1708.0,1482.71112817
1712.0,1482.72429062
1716.0,1482.73745308
1720.0,1482.75061553
1724.0,1482.76377798
1728.0,1482.77694044
1732.0,1482.79010289
1736.0,1482.80326534
1740.0,1482.8164278
1744.0,1482.82959025
1748.0,1482.8427527
1752.0,1482.85591516
1756.0,1482.86907761
1760.0,1482.88224007
1764.0,1482.89540252
1768.0,1482.90856497
1772.0,1482.92172743
1776.0,1482.93488988
1780.0,1482.94805233
1784.0,1482.96121479
1788.0,1482.97437724
1792.0,1482.98753969
1796.0,1483.00070215
1800.0,1483.0138646
1804.0,1483.02702706
1808.0,1483.04018951
1812.0,1483.05335196
1816.0,1483.06651442
1820.0,1483.07967687
1824.0,1483.09283932
1828.0,1483.10600178
1832.0,1483.11916423
1836.0,1483.13232668
1840.0,1483.14548914
1844.0,1483.15865159
1848.0,1483.17181405
1852.0,1483.1849765
1856.0,1483.19813895
1860.0,1483.21130141
1864.0,1483.22446386
1868.0,1483.23762631
1872.0,1483.25078877
1876.0,1483.26395122
1880.0,1483.27711368
